Admitted_at,# admissions,rolling mean,std,residual,rolling std,anomalies
2017-01-11,11,7.0,4.0,3.8124139334547604,3.934307788897276,
2017-01-26,12,7.7,4.3,3.8124139334547604,4.017254452151784,
2017-02-10,10,8.0,2.0,3.8124139334547604,4.021663558501354,
2017-02-25,20,9.7,10.3,3.8124139334547604,4.6200529097499405,20.0
2017-03-12,12,10.0,2.0,3.8124139334547604,4.618333032599533,
2017-03-27,18,10.7,7.300000000000001,3.8124139334547604,4.813418743471214,
2017-04-11,21,11.4,9.6,3.8124139334547604,5.109566191631797,
2017-04-26,14,12.4,1.5999999999999996,3.8124139334547604,4.743463338579149,
2017-05-11,24,14.4,9.6,3.8124139334547604,4.618128529080922,24.0
2017-05-26,10,15.2,-5.199999999999999,3.8124139334547604,4.816234121293432,
2017-06-10,12,15.3,-3.3000000000000007,3.8124139334547604,5.423774823251177,
2017-06-25,14,15.5,-1.5,3.8124139334547604,5.6712138618347545,
2017-07-10,15,16.0,-1.0,3.8124139334547604,5.82145457195479,
2017-07-25,19,15.9,3.0999999999999996,3.8124139334547604,5.224684998479174,
2017-08-09,24,17.1,6.899999999999999,3.8124139334547604,5.4275941058426405,
2017-08-24,21,17.4,3.6000000000000014,3.8124139334547604,5.20132461761211,
2017-09-08,13,16.6,-3.6000000000000014,3.8124139334547604,4.814745868452224,
2017-09-23,19,17.1,1.8999999999999986,3.8124139334547604,4.819693397348469,
2017-10-08,12,15.9,-3.9000000000000004,3.8124139334547604,3.9754804042334837,
2017-10-23,19,16.8,2.1999999999999993,3.8124139334547604,3.636298484264823,
2017-11-07,19,17.5,1.5,3.8124139334547604,3.396665031075822,
2017-11-22,10,17.1,-7.100000000000001,3.8124139334547604,4.205340519968493,
2017-12-07,10,16.6,-6.600000000000001,3.8124139334547604,4.7448217388362774,
2017-12-22,16,16.3,-0.3000000000000007,3.8124139334547604,4.6017388018009,
2018-01-06,8,14.7,-6.699999999999999,3.8124139334547604,4.145680482944464,
2018-01-21,10,13.6,-3.5999999999999996,3.8124139334547604,3.6838385777157274,
2018-02-05,9,13.2,-4.199999999999999,3.8124139334547604,3.7063908770302816,
2018-02-20,19,13.2,5.800000000000001,3.8124139334547604,4.384936335531753,
2018-03-07,23,14.3,8.7,3.8124139334547604,5.531334980514798,
2018-03-22,20,14.4,5.6,3.8124139334547604,5.847402082216605,
2018-04-06,18,14.3,3.6999999999999993,3.8124139334547604,5.97886090971999,
2018-04-21,17,15.0,2.0,3.8124139334547604,5.533574291942272,
2018-05-06,16,15.6,0.40000000000000036,3.8124139334547604,4.95674624459769,
2018-05-21,4,14.4,-10.4,3.8124139334547604,6.164603258388435,
