Admitted_at,# admissions,rolling mean,std,residual,rolling std,anomalies
2013-01-13,6,,,9.294959066954567,6.593179178665193,
2013-01-28,4,,,9.294959066954567,6.593179178665193,
2013-02-12,2,,,9.294959066954567,6.593179178665193,
2013-02-27,6,,,9.294959066954567,6.593179178665193,
2013-03-14,3,,,9.294959066954567,6.593179178665193,
2013-03-29,5,,,9.294959066954567,6.593179178665193,
2013-04-13,6,,,9.294959066954567,6.593179178665193,
2013-04-28,6,,,9.294959066954567,6.593179178665193,
2013-05-13,7,,,9.294959066954567,6.593179178665193,
2013-05-28,8,5.3,2.7,9.294959066954567,6.593179178665193,
2013-06-12,9,5.6,3.4000000000000004,9.294959066954567,6.593179178665193,
2013-06-27,3,5.5,-2.5,9.294959066954567,6.593179178665193,
2013-07-12,1,5.4,-4.4,9.294959066954567,6.593179178665193,
2013-07-27,2,5.0,-3.0,9.294959066954567,6.593179178665193,
2013-08-11,4,5.1,-1.0999999999999996,9.294959066954567,6.593179178665193,
2013-08-26,7,5.3,1.7000000000000002,9.294959066954567,6.593179178665193,
2013-09-10,2,4.9,-2.9000000000000004,9.294959066954567,6.593179178665193,
2013-09-25,1,4.4,-3.4000000000000004,9.294959066954567,6.593179178665193,
2013-10-10,1,3.8,-2.8,9.294959066954567,2.7936634649784784,
2013-10-25,1,3.1,-2.1,9.294959066954567,2.4323970801568473,
2013-11-09,1,2.3,-1.2999999999999998,9.294959066954567,1.669863600550789,
2013-11-24,1,2.1,-1.1,9.294959066954567,1.6984960667864053,
2013-12-09,1,2.1,-1.1,9.294959066954567,1.49773903675581,
2013-12-24,1,2.0,-1.0,9.294959066954567,1.4387108426952542,
2014-01-08,0,1.6,-1.6,9.294959066954567,1.4315492772983167,
2014-01-23,1,1.0,0.0,9.294959066954567,1.052035064899349,
2014-02-07,0,0.8,-0.8,9.294959066954567,1.0008884941779363,
2014-02-22,0,0.7,-0.7,9.294959066954567,0.7763876465901404,
2014-03-09,2,0.8,1.2,9.294959066954567,0.9082951062292467,
2014-03-24,4,1.1,2.9,9.294959066954567,1.3914420976494528,4.0
2014-04-08,14,2.4,11.6,9.294959066954567,3.981680270661844,14.0
2014-04-23,9,3.2,5.8,9.294959066954567,4.181719476217621,
2014-05-08,9,4.0,5.0,9.294959066954567,4.184149986689185,
2014-05-23,10,4.9,5.1,9.294959066954567,4.103183046259466,
2014-06-07,12,6.1,5.9,9.294959066954567,3.878716855410361,
2014-06-22,7,6.7,0.2999999999999998,9.294959066954567,3.848823774147686,
2014-07-07,10,7.7,2.3,9.294959066954567,3.566884728536466,
2014-07-22,12,8.9,3.0999999999999996,9.294959066954567,3.2013191725356656,
2014-08-06,12,9.9,2.0999999999999996,9.294959066954567,3.1153562307454403,
2014-08-21,5,10.0,-5.0,9.294959066954567,4.312462560223953,
2014-09-05,4,9.0,-5.0,9.294959066954567,4.08852051480728,
2014-09-20,3,8.4,-5.4,9.294959066954567,4.438768598008535,
2014-10-05,2,7.7,-5.7,9.294959066954567,4.610868802201066,
2014-10-20,1,6.8,-5.8,9.294959066954567,4.497851338880227,
2014-11-04,1,5.7,-4.7,9.294959066954567,3.802572228841358,
2014-11-19,1,5.1,-4.1,9.294959066954567,3.711483680566451,
2014-12-04,5,4.6,0.40000000000000036,9.294959066954567,3.4603949678227934,
2014-12-19,17,5.1,11.9,9.294959066954567,5.627324211184012,17.0
2015-01-03,19,5.8,13.2,9.294959066954567,7.377111750392409,
2015-01-18,22,7.5,14.5,9.294959066954567,8.671799761935874,
2015-02-02,17,8.8,8.2,9.294959066954567,8.673490903001191,
2015-02-17,24,10.9,13.1,9.294959066954567,8.832012479862357,
2015-03-04,20,12.7,7.300000000000001,9.294959066954567,8.160473842451387,
2015-03-19,16,14.2,1.8000000000000007,9.294959066954567,7.31120905034029,
