Admitted_at,# admissions,rolling mean,std,residual,rolling std,anomalies
2013-01-03,16,,,31.14657576140063,20.8326469540725,
2013-01-18,5,,,31.14657576140063,20.8326469540725,
2013-02-02,7,,,31.14657576140063,20.8326469540725,
2013-02-17,4,,,31.14657576140063,20.8326469540725,
2013-03-04,3,,,31.14657576140063,20.8326469540725,
2013-03-19,4,,,31.14657576140063,20.8326469540725,
2013-04-03,4,,,31.14657576140063,20.8326469540725,
2013-04-18,5,,,31.14657576140063,20.8326469540725,
2013-05-03,4,,,31.14657576140063,20.8326469540725,
2013-05-18,4,5.6,-1.5999999999999996,31.14657576140063,20.8326469540725,
2013-06-02,1,4.1,-3.0999999999999996,31.14657576140063,20.8326469540725,
2013-06-17,6,4.2,1.7999999999999998,31.14657576140063,20.8326469540725,
2013-07-02,9,4.4,4.6,31.14657576140063,20.8326469540725,
2013-07-17,26,6.6,19.4,31.14657576140063,20.8326469540725,
2013-08-01,31,9.4,21.6,31.14657576140063,20.8326469540725,
2013-08-16,22,11.2,10.8,31.14657576140063,20.8326469540725,
2013-08-31,51,15.9,35.1,31.14657576140063,20.8326469540725,
2013-09-15,8,16.2,-8.2,31.14657576140063,20.8326469540725,
2013-09-30,6,16.4,-10.399999999999999,31.14657576140063,14.581342721284468,
2013-10-15,34,19.4,14.600000000000001,31.14657576140063,14.418722396785213,
2013-10-30,11,20.4,-9.399999999999999,31.14657576140063,15.108823764792398,
2013-11-14,7,20.5,-13.5,31.14657576140063,16.51458614545201,
2013-11-29,7,20.3,-13.3,31.14657576140063,17.66836784262265,
2013-12-14,2,17.9,-15.899999999999999,31.14657576140063,17.922933787624046,
2013-12-29,5,15.3,-10.3,31.14657576140063,16.67194916285702,
2014-01-13,13,14.4,-1.4000000000000004,31.14657576140063,16.062381862946456,
2014-01-28,10,10.3,-0.3000000000000007,31.14657576140063,9.026190287774305,
2014-02-12,16,11.1,4.9,31.14657576140063,9.725567678375732,
2014-02-27,7,11.2,-4.199999999999999,31.14657576140063,9.574944154174249,
2014-03-14,9,8.7,0.3000000000000007,31.14657576140063,7.086991212386574,
2014-03-29,6,8.2,-2.1999999999999993,31.14657576140063,7.103903465310077,
2014-04-13,7,8.2,-1.1999999999999993,31.14657576140063,6.631272711763395,
2014-04-28,7,8.2,-1.1999999999999993,31.14657576140063,5.880145500845295,
2014-05-13,10,9.0,1.0,31.14657576140063,3.905608502881187,
2014-05-28,7,9.2,-2.1999999999999993,31.14657576140063,2.429563289518884,
2014-06-12,13,9.2,3.8000000000000007,31.14657576140063,2.7821055176091276,
2014-06-27,19,10.1,8.9,31.14657576140063,3.9820290751770746,19.0
2014-07-12,38,12.3,25.7,31.14657576140063,8.838432490486586,38.0
2014-07-27,35,15.1,19.9,31.14657576140063,9.916406159043259,35.0
2014-08-11,38,18.0,20.0,31.14657576140063,10.739775499412348,
2014-08-26,37,21.1,15.899999999999999,31.14657576140063,10.492558209406214,
2014-09-10,21,22.5,-1.5,31.14657576140063,10.525529809837495,
2014-09-25,18,23.6,-5.600000000000001,31.14657576140063,11.078151670944228,
2014-10-10,171,39.7,131.3,31.14657576140063,40.00952108908301,171.0
2014-10-25,50,44.0,6.0,31.14657576140063,39.548456916097805,
2014-11-09,26,45.3,-19.299999999999997,31.14657576140063,41.389935706374054,
2014-11-24,20,45.4,-25.4,31.14657576140063,43.776401557612445,
2014-12-09,31,44.7,-13.700000000000003,31.14657576140063,44.64089306155661,
2014-12-24,38,45.0,-7.0,31.14657576140063,44.97209134563346,
2015-01-08,19,43.1,-24.1,31.14657576140063,46.03972198004675,
2015-01-23,31,42.5,-11.5,31.14657576140063,46.177719495204364,
2015-02-07,42,44.6,-2.6000000000000014,31.14657576140063,46.19072658253193,
2015-02-22,39,46.7,-7.700000000000003,31.14657576140063,46.23795939365068,
2015-03-09,24,32.0,-8.0,31.14657576140063,9.716886789959444,
2015-03-24,27,29.7,-2.6999999999999993,31.14657576140063,8.275398614098396,
2015-04-08,31,30.2,0.8000000000000007,31.14657576140063,8.784639371589954,
2015-04-23,32,31.4,0.6000000000000014,31.14657576140063,7.542538623625894,
2015-05-08,20,30.3,-10.3,31.14657576140063,7.309544749465861,
2015-05-23,16,28.1,-12.100000000000001,31.14657576140063,7.466398804719087,
2015-06-07,17,27.9,-10.899999999999999,31.14657576140063,5.023986907272346,
2015-06-22,18,26.6,-8.600000000000001,31.14657576140063,4.777086513300242,
2015-07-07,31,25.5,5.5,31.14657576140063,5.98093266602752,
2015-07-22,41,25.7,15.3,31.14657576140063,8.752675781344404,
2015-08-06,68,30.1,37.9,31.14657576140063,15.385003520744897,68.0
2015-08-21,160,43.4,116.6,31.14657576140063,39.335418023851105,160.0
2015-09-05,236,63.9,172.1,31.14657576140063,63.23732108318455,236.0
2015-09-20,151,75.8,75.2,31.14657576140063,63.70224224206449,
2015-10-05,123,86.1,36.900000000000006,31.14657576140063,61.42810522156052,
2015-10-20,125,97.0,28.0,31.14657576140063,58.694822788915744,
2015-11-04,47,100.0,-53.0,31.14657576140063,64.514640026724,
2015-11-19,33,101.5,-68.5,31.14657576140063,72.1272178553669,
2015-12-04,41,102.5,-61.5,31.14657576140063,78.19386165166675,
2015-12-19,33,101.7,-68.7,31.14657576140063,84.21646711500865,
2016-01-03,16,96.5,-80.5,31.14657576140063,89.79291236568235,
2016-01-18,9,81.4,-72.4,31.14657576140063,84.51856074916982,
2016-02-02,8,58.6,-50.6,31.14657576140063,55.933898487411,
2016-02-17,10,44.5,-34.5,31.14657576140063,41.60116985534579,
2016-03-03,15,33.7,-18.700000000000003,31.14657576140063,32.542423593416196,
2016-03-18,21,23.3,-2.3000000000000007,31.14657576140063,25.274802999561924,
2016-04-02,13,19.9,-6.899999999999999,31.14657576140063,28.836866835509138,
2016-04-17,11,17.7,-6.699999999999999,31.14657576140063,30.17956630275227,
2016-05-02,17,15.3,1.6999999999999993,31.14657576140063,31.815202515638802,
2016-05-17,13,13.3,-0.3000000000000007,31.14657576140063,30.854742117073506,
2016-06-01,9,12.6,-3.5999999999999996,31.14657576140063,25.123121267514136,
2016-06-16,28,14.5,13.5,31.14657576140063,18.9186092981957,
2016-07-01,26,16.3,9.7,31.14657576140063,13.73822323947959,
2016-07-16,35,18.8,16.2,31.14657576140063,10.548954661218515,
2016-07-31,38,21.1,16.9,31.14657576140063,9.381992207296767,
2016-08-15,25,21.5,3.5,31.14657576140063,9.137711845849445,
2016-08-30,13,21.5,-8.5,31.14657576140063,9.368647477387281,
2016-09-14,8,21.2,-13.2,31.14657576140063,10.382619023048917,
2016-09-29,15,21.0,-6.0,31.14657576140063,10.814886859222211,
2016-10-14,15,21.2,-6.199999999999999,31.14657576140063,11.159455382967572,
2016-10-29,17,22.0,-5.0,31.14657576140063,11.249143177247843,
2016-11-13,9,20.1,-11.100000000000001,31.14657576140063,11.166223871817857,
2016-11-28,12,18.7,-6.699999999999999,31.14657576140063,10.718255455063542,
2016-12-13,10,16.2,-6.199999999999999,31.14657576140063,8.626219720518716,
2016-12-28,6,13.0,-7.0,31.14657576140063,4.382084739786065,
2017-01-12,10,11.5,-1.5,31.14657576140063,3.2304798405189326,
2017-01-27,8,11.0,-3.0,31.14657576140063,3.434934901534092,
2017-02-11,14,11.6,2.4000000000000004,31.14657576140063,3.6359470720997025,
2017-02-26,5,10.6,-5.6,31.14657576140063,3.6262775526548126,
2017-03-13,8,9.9,-1.9000000000000004,31.14657576140063,3.720573432505528,
2017-03-28,24,10.6,13.4,31.14657576140063,6.7749210737509635,
2017-04-12,74,17.1,56.9,31.14657576140063,19.536336515438197,74.0
2017-04-27,26,18.5,7.5,31.14657576140063,19.178518075063963,
2017-05-12,37,21.2,15.8,31.14657576140063,18.94770581246065,
2017-05-27,26,23.2,2.8000000000000007,31.14657576140063,18.34683139460931,
2017-06-11,26,24.8,1.1999999999999993,31.14657576140063,18.199648958763515,
2017-06-26,26,26.6,-0.6000000000000014,31.14657576140063,18.03967540974306,
2017-07-11,45,29.7,15.3,31.14657576140063,17.961242223805733,
2017-07-26,49,34.1,14.899999999999999,31.14657576140063,17.069794635228877,
2017-08-10,40,37.3,2.700000000000003,31.14657576140063,16.695604877398782,
2017-08-25,30,37.9,-7.899999999999999,31.14657576140063,17.949138017062413,
2017-09-09,20,32.5,-12.5,31.14657576140063,9.683410785691368,
2017-09-24,23,32.2,-9.200000000000003,31.14657576140063,10.410171308228609,
