Admitted_at,# admissions,rolling mean,std,residual,rolling std,anomalies
2013-01-26,1,,,3.128648833949058,2.4522994542936294,
2013-02-10,2,,,3.128648833949058,2.4522994542936294,
2013-02-25,0,,,3.128648833949058,2.4522994542936294,
2013-03-12,2,,,3.128648833949058,2.4522994542936294,
2013-03-27,0,,,3.128648833949058,2.4522994542936294,
2013-04-11,0,,,3.128648833949058,2.4522994542936294,
2013-04-26,1,,,3.128648833949058,2.4522994542936294,
2013-05-11,4,,,3.128648833949058,2.4522994542936294,
2013-05-26,3,,,3.128648833949058,2.4522994542936294,
2013-06-10,3,1.6,1.4,3.128648833949058,2.4522994542936294,
2013-06-25,8,2.3,5.7,3.128648833949058,2.4522994542936294,8.0
2013-07-10,3,2.4,0.6000000000000001,3.128648833949058,2.4522994542936294,
2013-07-25,2,2.6,-0.6000000000000001,3.128648833949058,2.4522994542936294,
2013-08-09,2,2.6,-0.6000000000000001,3.128648833949058,2.4522994542936294,
2013-08-24,3,2.9,0.10000000000000009,3.128648833949058,2.4522994542936294,
2013-09-08,2,3.1,-1.1,3.128648833949058,2.4522994542936294,
2013-09-23,1,3.1,-2.1,3.128648833949058,2.4522994542936294,
2013-10-08,1,2.8,-1.7999999999999998,3.128648833949058,2.4522994542936294,
2013-10-23,0,2.5,-2.5,3.128648833949058,2.3703961225452965,
2013-11-07,0,2.2,-2.2,3.128648833949058,2.3922328017519066,
2013-11-22,0,1.4,-1.4,3.128648833949058,1.029778832781313,
2013-12-07,1,1.2,-0.19999999999999996,3.128648833949058,0.9008637830191389,
2013-12-22,1,1.1,-0.10000000000000009,3.128648833949058,0.9527154174603586,
2014-01-06,4,1.3,2.7,3.128648833949058,1.5586318787107276,
2014-01-21,2,1.2,0.8,3.128648833949058,1.6210079169043763,
2014-02-05,5,1.5,3.5,3.128648833949058,2.1039909167526782,
2014-02-20,3,1.7,1.3,3.128648833949058,2.0604476320558214,
2014-03-07,4,2.0,2.0,3.128648833949058,2.039852935875525,
2014-03-22,0,2.0,-2.0,3.128648833949058,1.9659320661937654,
2014-04-06,2,2.2,-0.20000000000000018,3.128648833949058,1.758281989771707,
2014-04-21,3,2.5,0.5,3.128648833949058,1.6097273751235706,
2014-05-06,5,2.9,2.1,3.128648833949058,1.610520964712281,
2014-05-21,1,2.9,-1.9,3.128648833949058,1.8389610593424146,
2014-06-05,5,3.0,2.0,3.128648833949058,1.7741664709566194,
2014-06-20,8,3.6,4.4,3.128648833949058,2.1061022450647227,8.0
2014-07-05,6,3.7,2.3,3.128648833949058,1.9895560643855532,
2014-07-20,6,4.0,2.0,3.128648833949058,2.0115223643355846,
2014-08-04,3,3.9,-0.8999999999999999,3.128648833949058,2.078487698089914,
2014-08-19,6,4.5,1.5,3.128648833949058,1.8286607121059932,
2014-09-03,4,4.7,-0.7000000000000002,3.128648833949058,1.8767880363358382,
2014-09-18,1,4.5,-3.5,3.128648833949058,2.3837645297582,
2014-10-03,3,4.3,-1.2999999999999998,3.128648833949058,2.4089878003473206,
2014-10-18,4,4.6,-0.5999999999999996,3.128648833949058,2.3044883741660893,
2014-11-02,2,4.3,-2.3,3.128648833949058,2.3969656744401755,
