Admitted_at,# admissions,rolling mean,std,residual,rolling std,anomaliesW,anomaliesBIW,anomaliesM
2013-01-13,1.0,,,3.808810958290972,2.65967778743583,,,
2013-01-20,2.0,,,3.808810958290972,2.65967778743583,,,
2013-01-27,3.0,,,3.808810958290972,2.65967778743583,,,
2013-01-28,,,,,,,,
2013-01-31,,,,,,,,
2013-02-03,0.0,,,3.808810958290972,2.65967778743583,,,
2013-02-10,3.0,,,3.808810958290972,2.65967778743583,,,
2013-02-12,,,,,,,,
2013-02-17,2.0,,,3.808810958290972,2.65967778743583,,,
2013-02-24,0.0,,,3.808810958290972,2.65967778743583,,,
2013-02-27,,,,,,,,
2013-02-28,,,,,,,,
2013-03-03,2.0,,,3.808810958290972,2.65967778743583,,,
2013-03-10,4.0,,,3.808810958290972,2.65967778743583,,,
2013-03-14,,,,,,,,
2013-03-17,2.0,1.9,0.10000000000000009,3.808810958290972,2.65967778743583,,,
2013-03-24,0.0,1.8,-1.8,3.808810958290972,2.65967778743583,,,
2013-03-29,,,,,,,,
2013-03-31,2.0,1.8,0.19999999999999996,3.808810958290972,2.65967778743583,,,
2013-04-07,3.0,1.8,1.2,3.808810958290972,2.65967778743583,,,
2013-04-13,,,,,,,,
2013-04-14,3.0,2.1,0.8999999999999999,3.808810958290972,2.65967778743583,,,
2013-04-21,1.0,1.9,-0.8999999999999999,3.808810958290972,2.65967778743583,,,
2013-04-28,4.0,2.1,1.9,3.808810958290972,2.65967778743583,,,
2013-04-30,,,,,,,,
2013-05-05,1.0,2.2,-1.2000000000000002,3.808810958290972,2.65967778743583,,,
2013-05-12,5.0,2.5,2.5,3.808810958290972,2.65967778743583,,,
2013-05-13,,,,,,,,
2013-05-19,3.0,2.4,0.6000000000000001,3.808810958290972,1.3656500283747661,,,
2013-05-26,3.0,2.5,0.5,3.808810958290972,1.3633700076566808,,,
2013-05-28,,,,,,,,
2013-05-31,,,,,,,,
2013-06-02,3.0,2.8,0.20000000000000018,3.808810958290972,1.133774423968209,,,
2013-06-09,4.0,3.0,1.0,3.808810958290972,1.1314199534704659,,,
2013-06-12,,,,,,,,
2013-06-16,5.0,3.2,1.7999999999999998,3.808810958290972,1.1776152927750971,,,
2013-06-23,6.0,3.5,2.5,3.808810958290972,1.3050755618822314,,,
2013-06-27,,,,,,,,
2013-06-30,1.0,3.5,-2.5,3.808810958290972,1.6111072796889307,,,
2013-07-07,2.0,3.3,-1.2999999999999998,3.808810958290972,1.669630697689362,,,
2013-07-12,,,,,,,,
2013-07-14,0.0,3.2,-3.2,3.808810958290972,1.9756574151968307,,,
2013-07-21,1.0,2.8,-1.7999999999999998,3.808810958290972,1.8878559267062727,,,
2013-07-27,,,,,,,,
2013-07-28,0.0,2.5,-2.5,3.808810958290972,1.9900027917345016,,,
2013-07-31,,,,,,,,
2013-08-04,1.0,2.3,-1.2999999999999998,3.808810958290972,1.9677680531788067,,,
2013-08-11,2.0,2.2,-0.20000000000000018,3.808810958290972,1.9512104505209635,,,
2013-08-18,2.0,2.0,0.0,3.808810958290972,1.8757220831811232,,,
2013-08-25,1.0,1.6,-0.6000000000000001,3.808810958290972,1.6373759494996862,,,
2013-08-26,,,,,,,,
2013-08-31,,,,,,,,
2013-09-01,3.0,1.3,1.7,3.808810958290972,1.4514743462348128,,,
2013-09-08,4.0,1.6,2.4,3.808810958290972,1.7491585278514794,,,
2013-09-10,,,,,,,,
2013-09-15,2.0,1.6,0.3999999999999999,3.808810958290972,1.7647473851328785,,,
2013-09-22,0.0,1.6,-1.6,3.808810958290972,1.5536694915228555,,,
2013-09-25,,,,,,,,
2013-09-29,0.0,1.5,-1.5,3.808810958290972,1.5251957979952022,,,
2013-09-30,,,,,,,,
2013-10-06,1.0,1.6,-0.6000000000000001,3.808810958290972,1.3292019326565008,,,
2013-10-10,,,,,,,,
2013-10-13,1.0,1.6,-0.6000000000000001,3.808810958290972,1.2781931691953987,,,
2013-10-20,0.0,1.4,-1.4,3.808810958290972,1.3472605951007066,,,
2013-10-25,,,,,,,,
2013-10-27,0.0,1.2,-1.2,3.808810958290972,1.3824294235551808,,,
2013-10-31,,,,,,,,
2013-11-03,1.0,1.2,-0.19999999999999996,3.808810958290972,1.3785660827267017,,,
2013-11-09,,,,,,,,
2013-11-10,0.0,0.9,-0.9,3.808810958290972,1.2016655108639835,,,
2013-11-17,1.0,0.6,0.4,3.808810958290972,0.7390684827688304,,,
2013-11-24,0.0,0.4,-0.4,3.808810958290972,0.6411794687223772,,,
2013-11-30,,,,,,,,
2013-12-01,0.0,0.4,-0.4,3.808810958290972,0.5846176338238323,,,
2013-12-08,1.0,0.5,0.5,3.808810958290972,0.6142746399887691,,,
2013-12-09,,,,,,,,
2013-12-15,0.0,0.4,-0.4,3.808810958290972,0.6131883886702344,,,
2013-12-22,1.0,0.4,0.6,3.808810958290972,0.694742158406027,,,
2013-12-24,,,,,,,,
2013-12-29,1.0,0.5,0.5,3.808810958290972,0.6293735862833055,,,
2013-12-31,,,,,,,,
2014-01-05,0.0,0.5,-0.5,3.808810958290972,0.5308274463305154,,,
2014-01-08,,,,,,,,
2014-01-12,0.0,0.4,-0.4,3.808810958290972,0.5395471352079533,,,
2014-01-19,0.0,0.4,-0.4,3.808810958290972,0.4766783215358346,,,
2014-01-23,,,,,,,,
2014-01-26,0.0,0.3,-0.3,3.808810958290972,0.4541169697580355,,,
2014-01-31,,,,,,,,
2014-02-02,1.0,0.4,0.6,3.808810958290972,0.493963561409137,,,
2014-02-07,,,,,,,,
2014-02-09,0.0,0.4,-0.4,3.808810958290972,0.493963561409137,,,
2014-02-16,0.0,0.3,-0.3,3.808810958290972,0.4642796092394688,,,
2014-02-22,,,,,,,,
2014-02-23,0.0,0.3,-0.3,3.808810958290972,0.458136321294096,,,
2014-02-28,,,,,,,,
2014-03-02,0.0,0.2,-0.2,3.808810958290972,0.3888730155490614,,,
2014-03-09,1.0,0.2,0.8,3.808810958290972,0.45264653858047693,,,
