Admitted_at,# admissions,rolling mean,std,residual,rolling std,anomalies
2017-01-31,13,13.6,-0.5999999999999996,7.534458215828169,5.082475337427185,
2017-02-28,24,14.4,9.6,7.534458215828169,5.758317655550295,
2017-03-31,35,16.2,18.8,7.534458215828169,7.9079776878232995,35.0
2017-04-30,39,18.6,20.4,7.534458215828169,9.564308652485032,39.0
2017-05-31,37,21.2,15.8,7.534458215828169,9.85271536176703,
2017-06-30,19,22.4,-3.3999999999999986,7.534458215828169,9.731415336139163,
2017-07-31,37,25.0,12.0,7.534458215828169,9.568466729604884,
2017-08-31,49,28.6,20.4,7.534458215828169,9.989438867568534,49.0
2017-09-30,29,28.9,0.10000000000000142,7.534458215828169,10.396372230521356,
2017-10-31,31,31.3,-0.3000000000000007,7.534458215828169,9.559149195055664,
2017-11-30,32,33.2,-1.2000000000000028,7.534458215828169,9.629676353163003,
2017-12-31,22,33.0,-11.0,7.534458215828169,11.551065366930928,
2018-01-31,23,31.8,-8.8,7.534458215828169,11.756322176221234,
2018-02-28,26,30.5,-4.5,7.534458215828169,10.567818023498411,
2018-03-31,40,30.8,9.2,7.534458215828169,9.780735032592277,
2018-04-30,38,32.7,5.299999999999997,7.534458215828169,9.707820444248949,
2018-05-31,26,31.6,-5.600000000000001,7.534458215828169,9.304622507119785,
