Admitted_at,# admissions,rolling mean,std,residual,rolling std,anomalies
2013-01-31,1,,,8.11379777204943,7.524928287476669,
2013-02-28,3,,,8.11379777204943,7.524928287476669,
2013-03-31,4,,,8.11379777204943,7.524928287476669,
2013-04-30,6,,,8.11379777204943,7.524928287476669,
2013-05-31,3,,,8.11379777204943,7.524928287476669,
2013-06-30,12,,,8.11379777204943,7.524928287476669,
2013-07-31,10,,,8.11379777204943,7.524928287476669,
2013-08-31,12,,,8.11379777204943,7.524928287476669,
2013-09-30,8,,,8.11379777204943,7.524928287476669,
2013-10-31,8,6.7,1.2999999999999998,8.11379777204943,7.524928287476669,
2013-11-30,6,7.2,-1.2000000000000002,8.11379777204943,7.524928287476669,
2013-12-31,1,7.0,-6.0,8.11379777204943,7.524928287476669,
2014-01-31,5,7.1,-2.0999999999999996,8.11379777204943,7.524928287476669,
2014-02-28,7,7.2,-0.20000000000000018,8.11379777204943,7.524928287476669,
2014-03-31,11,8.0,3.0,8.11379777204943,7.524928287476669,
2014-04-30,10,7.8,2.2,8.11379777204943,7.524928287476669,
2014-05-31,9,7.7,1.2999999999999998,8.11379777204943,7.524928287476669,
2014-06-30,15,8.0,7.0,8.11379777204943,7.524928287476669,
2014-07-31,23,9.5,13.5,8.11379777204943,5.323073464748642,23.0
2014-08-31,25,11.2,13.8,8.11379777204943,6.507610928751043,25.0
2014-09-30,14,12.0,2.0,8.11379777204943,6.347746756833397,
2014-10-31,9,12.8,-3.8000000000000007,8.11379777204943,6.013143012509257,
2014-11-30,7,13.0,-6.0,8.11379777204943,6.532959172959492,
2014-12-31,8,13.1,-5.1,8.11379777204943,6.990700171577157,
2015-01-31,14,13.4,0.5999999999999996,8.11379777204943,7.023808716706976,
2015-02-28,11,13.5,-2.5,8.11379777204943,7.204751518577477,
2015-03-31,11,13.7,-2.6999999999999993,8.11379777204943,7.362185665804536,
2015-04-30,21,14.3,6.699999999999999,8.11379777204943,7.3386722989319475,
2015-05-31,25,14.5,10.5,8.11379777204943,6.845152380415729,
2015-06-30,16,13.6,2.4000000000000004,8.11379777204943,5.3209126201349255,
2015-07-31,19,14.1,4.9,8.11379777204943,5.505149104853262,
2015-08-31,22,15.4,6.6,8.11379777204943,5.5843431922553695,
2015-09-30,20,16.7,3.3000000000000007,8.11379777204943,4.924552997199059,
2015-10-31,18,17.7,0.3000000000000007,8.11379777204943,4.252437209674263,
2015-11-30,18,18.1,-0.10000000000000142,8.11379777204943,4.301989203974264,
2015-12-31,3,17.3,-14.3,8.11379777204943,6.8334471535236165,
2016-01-31,6,16.8,-10.8,8.11379777204943,7.828473669879717,
2016-02-29,8,15.5,-7.5,8.11379777204943,7.95641599940297,
2016-03-31,13,14.3,-1.3000000000000007,8.11379777204943,6.961521225836907,
2016-04-30,15,14.2,0.8000000000000007,8.11379777204943,6.87595649911907,
2016-05-31,16,13.9,2.0999999999999996,8.11379777204943,6.624776725797381,
2016-06-30,15,13.2,1.8000000000000007,8.11379777204943,6.07637501585718,
2016-07-31,17,12.9,4.1,8.11379777204943,6.166837835462263,
2016-08-31,9,12.0,-3.0,8.11379777204943,6.0887510122264725,
2016-09-30,11,11.3,-0.3000000000000007,8.11379777204943,6.079144676679442,
2016-10-31,16,12.6,3.4000000000000004,8.11379777204943,4.817572002575572,
2016-11-30,25,14.5,10.5,8.11379777204943,4.7458051652661295,25.0
2016-12-31,9,14.6,-5.6,8.11379777204943,4.38969753450559,
2017-01-31,15,14.8,0.1999999999999993,8.11379777204943,4.317921310589675,
2017-02-28,27,16.0,11.0,8.11379777204943,5.261981038016429,27.0
2017-03-31,38,18.2,19.8,8.11379777204943,7.599919590217898,38.0
2017-04-30,43,21.0,22.0,8.11379777204943,9.3719972969124,43.0
2017-05-31,41,23.4,17.6,8.11379777204943,9.986457496696882,
2017-06-30,21,24.6,-3.6000000000000014,8.11379777204943,10.05849558002256,
2017-07-31,42,27.7,14.3,8.11379777204943,9.858126935004778,
2017-08-31,53,31.4,21.6,8.11379777204943,10.383619578718955,53.0
2017-09-30,32,32.1,-0.10000000000000142,8.11379777204943,10.941440083970262,
2017-10-31,30,34.2,-4.200000000000003,8.11379777204943,10.730558647567653,
2017-11-30,32,35.9,-3.8999999999999986,8.11379777204943,11.208355018566385,
2017-12-31,26,35.8,-9.799999999999997,8.11379777204943,12.71718434944535,
2018-01-31,24,34.4,-10.399999999999999,8.11379777204943,13.01966461421594,
2018-02-28,26,32.7,-6.700000000000003,8.11379777204943,11.803088108155801,
2018-03-31,42,32.8,9.200000000000003,8.11379777204943,10.783238021217107,
2018-04-30,40,34.7,5.299999999999997,8.11379777204943,10.761665505136481,
2018-05-31,26,33.1,-7.100000000000001,8.11379777204943,10.043953404909841,
