Admitted_at,# admissions,rolling mean,std,residual,rolling std,anomalies
2013-01-27,1,,,1.5644465237604133,1.2820672577712446,
2013-02-03,0,,,1.5644465237604133,1.2820672577712446,
2013-02-10,1,,,1.5644465237604133,1.2820672577712446,
2013-02-17,1,,,1.5644465237604133,1.2820672577712446,
2013-02-24,0,,,1.5644465237604133,1.2820672577712446,
2013-03-03,0,,,1.5644465237604133,1.2820672577712446,
2013-03-10,0,,,1.5644465237604133,1.2820672577712446,
2013-03-17,0,,,1.5644465237604133,1.2820672577712446,
2013-03-24,1,,,1.5644465237604133,1.2820672577712446,
2013-03-31,1,0.5,0.5,1.5644465237604133,1.2820672577712446,
2013-04-07,0,0.4,-0.4,1.5644465237604133,1.2820672577712446,
2013-04-14,0,0.4,-0.4,1.5644465237604133,1.2820672577712446,
2013-04-21,0,0.3,-0.3,1.5644465237604133,1.2820672577712446,
2013-04-28,0,0.2,-0.2,1.5644465237604133,1.2820672577712446,
2013-05-05,1,0.3,0.7,1.5644465237604133,1.2820672577712446,
2013-05-12,1,0.4,0.6,1.5644465237604133,1.2820672577712446,
2013-05-19,1,0.5,0.5,1.5644465237604133,1.2820672577712446,
2013-05-26,2,0.7,1.3,1.5644465237604133,1.2820672577712446,
2013-06-02,3,0.9,2.1,1.5644465237604133,0.8140434058861155,3.0
2013-06-09,0,0.8,-0.8,1.5644465237604133,0.9024041962077378,
2013-06-16,2,1.0,1.0,1.5644465237604133,0.8885068623507894,
2013-06-23,1,1.1,-0.10000000000000009,1.5644465237604133,0.8612652191849952,
2013-06-30,6,1.7,4.3,1.5644465237604133,1.4354248306492556,6.0
2013-07-07,2,1.9,0.10000000000000009,1.5644465237604133,1.4118939211018808,
2013-07-14,2,2.0,0.0,1.5644465237604133,1.443760521847181,
2013-07-21,0,1.9,-1.9,1.5644465237604133,1.695910112922,
2013-07-28,1,1.9,-0.8999999999999999,1.5644465237604133,1.7660061658379842,
2013-08-04,1,1.8,-0.8,1.5644465237604133,1.786368134263235,
2013-08-11,1,1.6,-0.6000000000000001,1.5644465237604133,1.6852629204700111,
2013-08-18,1,1.7,-0.7,1.5644465237604133,1.6800793632048059,
2013-08-25,3,1.8,1.2,1.5644465237604133,1.6939106627367728,
2013-09-01,0,1.7,-1.7,1.5644465237604133,1.7838784213679533,
2013-09-08,1,1.2,-0.19999999999999996,1.5644465237604133,0.8984554647962366,
2013-09-15,2,1.2,0.8,1.5644465237604133,0.9784341231443906,
2013-09-22,0,1.0,-1.0,1.5644465237604133,0.9750213672872332,
2013-09-29,0,1.0,-1.0,1.5644465237604133,0.8761658899242003,
2013-10-06,1,1.0,0.0,1.5644465237604133,0.8755950357709127,
2013-10-13,1,1.0,0.0,1.5644465237604133,0.8715248450592529,
2013-10-20,0,0.9,-0.9,1.5644465237604133,0.8872554436137439,
2013-10-27,0,0.8,-0.8,1.5644465237604133,0.892188320927818,
2013-11-03,0,0.5,-0.5,1.5644465237604133,0.7040359839288514,
2013-11-10,0,0.5,-0.5,1.5644465237604133,0.5724217559340891,
2013-11-17,0,0.4,-0.4,1.5644465237604133,0.567744073798514,
2013-11-24,0,0.2,-0.2,1.5644465237604133,0.3860051813123746,
2013-12-01,0,0.2,-0.2,1.5644465237604133,0.35978388574871395,
2013-12-08,0,0.2,-0.2,1.5644465237604133,0.30930028559098655,
2013-12-15,0,0.1,-0.1,1.5644465237604133,0.2973961069759381,
2013-12-22,1,0.1,0.9,1.5644465237604133,0.49542350009304525,
2013-12-29,0,0.1,-0.1,1.5644465237604133,0.448330235429197,
2014-01-05,1,0.2,0.8,1.5644465237604133,0.49721446300587574,
2014-01-12,2,0.4,1.6,1.5644465237604133,0.6915361322607962,2.0
2014-01-19,1,0.5,0.5,1.5644465237604133,0.6569288816573334,
2014-01-26,2,0.7,1.3,1.5644465237604133,0.6864562784491242,
2014-02-02,1,0.8,0.19999999999999996,1.5644465237604133,0.6566751268490543,
2014-02-09,1,0.9,0.09999999999999998,1.5644465237604133,0.6289320754704397,
2014-02-16,3,1.2,1.8,1.5644465237604133,0.6960204339273695,3.0
2014-02-23,2,1.4,0.6000000000000001,1.5644465237604133,0.6395310782127787,
2014-03-02,1,1.4,-0.3999999999999999,1.5644465237604133,0.7351492667781446,
2014-03-09,2,1.6,0.3999999999999999,1.5644465237604133,0.6951418720104706,
2014-03-16,2,1.7,0.30000000000000004,1.5644465237604133,0.7042726744663599,
2014-03-23,1,1.6,-0.6000000000000001,1.5644465237604133,0.7146094504459523,
2014-03-30,0,1.5,-1.5,1.5644465237604133,0.9354737361952554,
2014-04-06,0,1.3,-1.3,1.5644465237604133,0.9628660919936428,
2014-04-13,1,1.3,-0.30000000000000004,1.5644465237604133,0.9620002310002028,
2014-04-20,1,1.3,-0.30000000000000004,1.5644465237604133,0.9615381196580584,
2014-04-27,1,1.1,-0.10000000000000009,1.5644465237604133,0.6860515043833558,
2014-05-04,2,1.1,0.8999999999999999,1.5644465237604133,0.735527021937331,
2014-05-11,2,1.2,0.8,1.5644465237604133,0.8097324661063465,
2014-05-18,3,1.3,1.7,1.5644465237604133,0.9946523680831069,
2014-05-25,1,1.2,-0.19999999999999996,1.5644465237604133,0.9882082551545269,
2014-06-01,0,1.1,-1.1,1.5644465237604133,1.0286992865858424,
2014-06-08,1,1.2,-0.19999999999999996,1.5644465237604133,0.9134184875145304,
2014-06-15,2,1.4,0.6000000000000001,1.5644465237604133,0.8066391179868886,
2014-06-22,3,1.6,1.4,1.5644465237604133,0.8708233651742082,
2014-06-29,5,2.0,3.0,1.5644465237604133,1.1707547423208098,5.0
2014-07-06,2,2.1,-0.10000000000000009,1.5644465237604133,1.1707547423208098,
2014-07-13,3,2.2,0.7999999999999998,1.5644465237604133,1.1690927156465294,
2014-07-20,3,2.3,0.7000000000000002,1.5644465237604133,1.1682845924212508,
2014-07-27,4,2.4,1.6,1.5644465237604133,1.1587828863845793,
2014-08-03,2,2.5,-0.5,1.5644465237604133,1.1867790208983489,
