Admitted_at,# admissions,rolling mean,std,residual,rolling std,anomalies
2013-01-20,2,,,3.5934541037545795,2.9133235915050992,
2013-01-27,0,,,3.5934541037545795,2.9133235915050992,
2013-02-03,1,,,3.5934541037545795,2.9133235915050992,
2013-02-10,2,,,3.5934541037545795,2.9133235915050992,
2013-02-17,0,,,3.5934541037545795,2.9133235915050992,
2013-02-24,1,,,3.5934541037545795,2.9133235915050992,
2013-03-03,2,,,3.5934541037545795,2.9133235915050992,
2013-03-10,1,,,3.5934541037545795,2.9133235915050992,
2013-03-17,3,,,3.5934541037545795,2.9133235915050992,
2013-03-24,4,1.6,2.4,3.5934541037545795,2.9133235915050992,
2013-03-31,3,1.7,1.3,3.5934541037545795,2.9133235915050992,
2013-04-07,4,2.1,1.9,3.5934541037545795,2.9133235915050992,
2013-04-14,5,2.5,2.5,3.5934541037545795,2.9133235915050992,
2013-04-21,4,2.7,1.2999999999999998,3.5934541037545795,2.9133235915050992,
2013-04-28,2,2.9,-0.8999999999999999,3.5934541037545795,2.9133235915050992,
2013-05-05,3,3.1,-0.10000000000000009,3.5934541037545795,2.9133235915050992,
2013-05-12,5,3.4,1.6,3.5934541037545795,2.9133235915050992,
2013-05-19,2,3.5,-1.5,3.5934541037545795,2.9133235915050992,
2013-05-26,2,3.4,-1.4,3.5934541037545795,1.547363348839998,
2013-06-02,5,3.5,1.5,3.5934541037545795,1.4619621518128756,
2013-06-09,3,3.5,-0.5,3.5934541037545795,1.4796395957574713,
2013-06-16,5,3.6,1.4,3.5934541037545795,1.4325191486018996,
2013-06-23,9,4.0,5.0,3.5934541037545795,1.9619717972828594,9.0
2013-06-30,5,4.1,0.9000000000000004,3.5934541037545795,1.9510680835549197,
2013-07-07,6,4.5,1.5,3.5934541037545795,1.8927933502278234,
2013-07-14,4,4.6,-0.5999999999999996,3.5934541037545795,1.92668396762705,
2013-07-21,5,4.6,0.40000000000000036,3.5934541037545795,1.9079075216349224,
2013-07-28,5,4.9,0.09999999999999964,3.5934541037545795,1.7676412406242268,
2013-08-04,6,5.3,0.7000000000000002,3.5934541037545795,1.5889898957793562,
2013-08-11,4,5.2,-1.2000000000000002,3.5934541037545795,1.7256560749143757,
2013-08-18,6,5.5,0.5,3.5934541037545795,1.6720247207103929,
2013-08-25,6,5.6,0.40000000000000036,3.5934541037545795,1.6666999996666734,
2013-09-01,4,5.1,-1.0999999999999996,3.5934541037545795,0.8745792639257398,
2013-09-08,8,5.4,2.5999999999999996,3.5934541037545795,1.1547486498993815,8.0
2013-09-15,5,5.3,-0.2999999999999998,3.5934541037545795,1.0906165432655257,
2013-09-22,2,5.1,-3.0999999999999996,3.5934541037545795,1.4936904334938719,
2013-09-29,7,5.3,1.7000000000000002,3.5934541037545795,1.5951663096854685,
2013-10-06,4,5.2,-1.2000000000000002,3.5934541037545795,1.6411378166788229,
2013-10-13,3,4.9,-1.9000000000000004,3.5934541037545795,1.7050252523382494,
2013-10-20,4,4.9,-0.9000000000000004,3.5934541037545795,1.691186302898386,
2013-10-27,1,4.4,-3.4000000000000004,3.5934541037545795,1.9135772202285901,
2013-11-03,2,4.0,-2.0,3.5934541037545795,1.9079948753716411,
2013-11-10,4,4.0,0.0,3.5934541037545795,1.930601518237832,
2013-11-17,1,3.3,-2.3,3.5934541037545795,1.5399855699179639,
2013-11-24,0,2.8,-2.8,3.5934541037545795,1.5552420318965723,
2013-12-01,3,2.9,0.10000000000000009,3.5934541037545795,1.5391556126655943,
2013-12-08,2,2.4,-0.3999999999999999,3.5934541037545795,1.1933147112141043,
2013-12-15,0,2.0,-2.0,3.5934541037545795,1.1992590304943396,
2013-12-22,0,1.7,-1.7,3.5934541037545795,1.1946175585144865,
2013-12-29,0,1.3,-1.3,3.5934541037545795,1.1773793875477112,
2014-01-05,0,1.2,-1.2,3.5934541037545795,0.9901739465591112,
2014-01-12,2,1.2,0.8,3.5934541037545795,1.1688550903436334,
2014-01-19,5,1.3,3.7,3.5934541037545795,1.9034763518946651,
2014-01-26,0,1.2,-1.2,3.5934541037545795,1.831817555204545,
2014-02-02,2,1.4,0.6000000000000001,3.5934541037545795,1.6879968404393815,
2014-02-09,1,1.2,-0.19999999999999996,3.5934541037545795,1.683547841118076,
2014-02-16,3,1.3,1.7,3.5934541037545795,1.7955500549970758,
2014-02-23,6,1.9,4.1,3.5934541037545795,2.083826608269828,
2014-03-02,2,2.1,-0.10000000000000009,3.5934541037545795,1.9507548396568049,
2014-03-09,7,2.8,4.2,3.5934541037545795,2.0971938923767217,7.0
