ID,C_Year,C_Month,BeachName,BeachNumber,County,Header_ID,Species,Condition,Sex,Age,NumofFeet,ToeClipPrevious,ToeClipPost,Scavenged,CauseOfDeath,Oiled,OilExtent,WhereOiled,Photo,photoAttachment,Disposition,MarineMammal,MarineMammalLat,MarineMammalLong,Tag,Collected Specimen Number,Comments
1,2013,1,New Brighton,1,SC,2013_01_01,WEGR,4,U,U,2,0,1,Y,4,No,,,N,0,,,,,N,,
2,2013,1,New Brighton,1,SC,2013_01_01,WEGR,2,U,FY,2,0,1,N,4,No,,,N,0,,,,,N,,
3,2013,1,New Brighton,1,SC,2013_01_01,COMU,3,U,AD,2,0,1,Y,4,No,,,N,0,,,,,N,,COMMON MURRE
4,2013,1,Aptos,2,SC,2013_01_02,NNNN,0,,,2,,,,0,,,,,0,,,,,,,
5,2013,1,Manresa,3,SC,2013_01_03,CWGR,4,U,AHY,2,0,1,Y,4,No,,,N,0,,,,,N,,
6,2013,1,Manresa,3,SC,2013_01_03,COMU,3,U,AHY,2,0,1,N,4,No,,,N,0,,,,,N,,
7,2013,1,Manresa,3,SC,2013_01_03,BRPE,1,U,AD,2,0,0,N,4,Yes,,,N,0,,,,,N,,BREEDING ADULT
8,2013,1,Manresa,3,SC,2013_01_03,NOFU,4,U,AHY,2,0,1,Y,4,No,,,N,0,,,,,N,,
9,2013,1,Manresa,3,SC,2013_01_03,GWGU,2,M,AD,2,0,1,Y,4,No,,,N,0,,,,,N,,BREEDING PLUMAGE
10,2013,1,Manresa,3,SC,2013_01_03,NOFU,4,U,AHY,1,0,1,Y,4,No,,,N,0,,,,,N,,ONE FOOT MISSING
11,2013,1,Sunset,4,SC,2013_01_04,NOFU,3,U,U,0,,,Y,4,No,,,N,0,,,,,N,,NO FEET
12,2013,1,Sunset,4,SC,2013_01_04,GULL,4,U,U,2,,,Y,4,Unknown,,,N,0,,,,,N,,
13,2013,1,Sunset,4,SC,2013_01_04,GULL,3,U,U,2,,,Y,4,Unknown,,,N,0,,,,,N,,ONE LEG MISSING
14,2013,1,Sunset,4,SC,2013_01_04,SUSC,3,F,U,2,0,1,N,4,No,,,N,0,,,,,N,,
15,2013,1,Sunset,4,SC,2013_01_04,COMU,3,U,U,2,0,1,N,4,No,,,N,0,,,,,N,,
16,2013,1,Sunset,4,SC,2013_01_04,GULL,3,U,IM,2,0,1,N,4,No,,,N,0,,,,,N,,
17,2013,1,Sunset,4,SC,2013_01_04,CWGR,4,U,U,2,0,1,Y,4,Unknown,,,N,0,,,,,N,,NO HEAD; ONE LEG MISSING
18,2013,1,Sunset,4,SC,2013_01_04,NOFU,3,U,U,2,0,1,N,4,No,,,N,0,,,,,N,,LIGHT MORPH
19,2013,1,Sunset,4,SC,2013_01_04,GULL,3,U,U,2,0,1,Y,4,No,,,N,0,,,,,N,,
20,2013,1,Sunset,4,SC,2013_01_04,CWGR,4,U,U,2,0,1,Y,4,Unknown,,,N,0,,,,,N,,
21,2013,1,Sunset,4,SC,2013_01_04,CWGR,4,U,U,2,0,1,N,4,No,,,N,0,,,,,N,,
22,2013,1,Sunset,4,SC,2013_01_04,EAGR,2,U,U,2,0,1,N,4,No,,,N,0,,,,,N,,
23,2013,1,Sunset,4,SC,2013_01_04,UNID,3,U,U,2,0,1,Y,4,No,,,N,0,,,,,N,,SMALL HEADLESS LAND BIRD
24,2013,1,Sunset,4,SC,2013_01_04,NOFU,3,U,U,2,0,1,Y,4,Unknown,,,N,0,,,,,N,,DARK MORPH
25,2013,1,Sunset,4,SC,2013_01_04,NOFU,4,U,U,2,0,1,Y,4,No,,,N,0,,,,,N,,DARK MORPH
26,2013,1,Sunset,4,SC,2013_01_04,GULL,4,U,U,2,0,1,Y,4,Unknown,,,N,0,,,,,N,,ONE LEG MISSING; NO HEAD
27,2013,1,Sunset,4,SC,2013_01_04,PIGU,4,U,U,2,0,1,Y,4,No,,,N,0,,,,,N,,NO HEAD
28,2013,1,Moss Landing,6,MTY,2013_01_06,WEGR,4,U,AD,2,,,Y,4,Unknown,,,N,0,,,,,N,,ONE LEG MISSING
29,2013,1,Moss Landing,6,MTY,2013_01_06,CWGR,4,U,U,2,,,Y,4,Unknown,,,N,0,,,,,N,,
30,2013,1,Moss Landing,6,MTY,2013_01_06,UNID,4,U,U,2,,,,4,Unknown,,,N,0,,,,,N,,
31,2013,1,Moss Landing,6,MTY,2013_01_06,BRAC,3,U,U,2,0,1,N,4,No,,,N,0,,,,,N,,
32,2013,1,Moss Landing,6,MTY,2013_01_06,BRAC,3,U,U,2,0,1,N,4,No,,,N,0,,,,,N,,
33,2013,1,Moss Landing,6,MTY,2013_01_06,EAGR,3,U,AD,2,0,1,Y,4,No,,,N,0,,,,,N,,EARRED GREBE; SMALL
34,2013,1,Moss Landing,6,MTY,2013_01_06,BRPE,4,U,IM,2,0,1,Y,4,No,,,N,0,,,,,N,,
35,2013,1,Moss Landing,6,MTY,2013_01_06,NOFU,3,U,AD,2,0,1,Y,4,No,,,N,0,,,,,N,,DARK MORPH
36,2013,1,Moss Landing,6,MTY,2013_01_06,BRAC,3,U,AD,2,0,1,N,4,No,,,N,0,,,,,N,,
37,2013,1,Moss Landing,6,MTY,2013_01_06,LOON,3,U,AD,2,0,1,Y,4,No,,,N,0,,,,,N,,PACIFIC OR COMMON
38,2013,1,Moss Landing,6,MTY,2013_01_06,GREB,3,U,U,2,0,1,Y,4,Unknown,,,N,0,,,,,N,,
39,2013,1,Moss Landing,6,MTY,2013_01_06,BRPE,3,U,IM,2,0,1,Y,4,No,,,N,0,,,,,N,,
40,2013,1,Moss Landing,6,MTY,2013_01_06,NOFU,3,U,AD,2,0,1,Y,4,No,,,N,0,,,,,N,,LIGHT MORPH
41,2013,1,Salinas River,7,MTY,2013_01_07,NOFU,4,U,U,2,,,Y,4,Unknown,,,N,0,,,,,N,,"NO LEGS, INTERMEDIATE"
42,2013,1,Salinas River,7,MTY,2013_01_07,CWGR,4,U,U,2,0,1,Y,4,No,,,N,0,,,,,N,,
43,2013,1,Salinas River,7,MTY,2013_01_07,NOFU,4,U,U,2,0,1,Y,4,Unknown,,,N,0,,,,,N,,DARK PHASE
44,2013,1,Fort Ord,9,MTY,2013_01_09,NOFU,3,U,U,0,,,Y,4,Unknown,,,N,0,,,,,N,,NO FEET
