WRMD_ID,Accession_no,Admission_date,Species,Org,Location,Lat,Long,Disp,Disp_date,Age,Clinical presentation/syndrome category,Reasons for admission,Condition,Diagnosis,Notes
797939,17-4838,10/10/2017 13:31,Rock Pigeon,Wildlife Care Association of Sacramento,1485 Eureka Rd Roseville CA,38.752975,-121.251392,Pending,,Adult,Neurologic disease,"Appears sick or injured, was flapping around on the ground. Started hyperventilating. Vomitted, did not attempt to get away. ",**cns**: Walking in circles // **comments**: Finder explained condition bird was in when found and it sounded like the bird was poisoned // ,Poisoned,
797531,17-3709,10/9/2017 12:27,Rock Pigeon,California Wildlife Center,Corner of Figueroa and Gage @ Gas Station Los Angeles CA,33.982069,-118.28297,Euthanized +24hr,10/10/2017,Adult,Neurologic disease,FOG; can't fly; head twitch,**cns**: Head shake // ,,
785529,17-2956,10/7/2017 12:04,Rock Pigeon,WildCare,2420 Van Ness San Francisco CA,37.797919,-122.423591,Euthanized in 24hr,10/7/2017,Adult,Neurologic disease,Unable to fly,"**comments**: neuro, no signs of trauma, looks like sarcocystis/pmv // ",suspect sarco ,
719028,17-2955,10/7/2017 12:02,Rock Pigeon,WildCare,425 Buchanan San Francisco CA,37.774006,-122.427646,Euthanized in 24hr,10/7/2017,Adult,Neurologic disease,Neuro,"**comments**: neuro no signs of trauma, looks like sarco  // ",suspect sarco ,
797863,17-2977,10/10/2017 11:29,Northern Band-tailed Pigeon or Band-tailed Pigeon,Santa Barbara Wildlife Care Network,895 Buena Vista Rd. Montecito CA,34.447379,-119.611831,Euthanized +24hr,10/12/2017,Nestling,Neurologic disease,found on ground,"**cns**: head tick and slight torticollis, may be sick keep separated and observe over the next few days to see if metacam helps // ",,
798025,17-4976,10/10/2017 14:51,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,Lindsay Wildlife,2785 8th Street out the front on the street Livermore CA,,,Euthanized in 24hr,10/10/2017,Juvenile,Neurologic disease,Squirrel was dragging both her legs. Rescuer thinks that a dog may have been involved but didn't see anything.  There are also 2 big cats in the area. A Jay was pecking at it as well.  ,"**cns**: unable to ambulate the rear limbs - suspected severe spinal trauma, no pain response in back legs // **integument**: missing skin and fur on mostly the ventral aspect // **body**: emaciated body condition // **hindlimb**: see ""neurological"" // ",,
744558,17-3714,10/10/2017 14:17,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,California Wildlife Center,17551 Lorne Street Northridge CA,34.217439,-118.51609,Pending,,Juvenile,Neurologic disease,Possibly fell out tree; twitching; right front limb paresis; possibly neuro,"**head**: OD cloudy // **cns**: falls to R, able to right self // **hindlimb**: cannot walk, falls over // ",Neuro; OD trauma,
797973,17-4974,10/10/2017 14:08,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,Lindsay Wildlife,4024 Camino Vinedo Martinez CA,38.009998,-122.093759,Euthanized in 24hr,10/11/2017,Juvenile,Neurologic disease,"Found in back yard below redwoods, moving with front paws",**cns**: Neurologically not normal. No withdrawal on the right back and forelimbs. Observed ambulation in water table - can use all limbs but unable to stand upright (will lay on the side)  // **integument**: Slight hair loss on the left lateral thigh and left lateral thorax  // ,,
797889,17-4972,10/10/2017 12:08,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,Lindsay Wildlife,3109 Shire Ln Walnut Creek CA,37.912857,-122.001494,Euthanized in 24hr,10/10/2017,Juvenile,Neurologic disease,found crying and cat-caught trying to escape using only front legs,"**cns**: unable to ambulate the back limbs - severe spinal trauma, no pain response in back limbs // ",,
672938,17-4830,10/9/2017 11:21,Bryant's Fox Squirrel or Delmarva Fox Squirrel or Eastern Fox Squirrel or Fox Squirrel,Wildlife Care Association of Sacramento,5118 Harston Way Antelope CA,38.707197,-121.342643,Euthanized in 24hr,10/9/2017,Adult,Neurologic disease,Fell from tree,"**head**: no pupil response, lump on top of head // **cns**: neuro symptoms, doesn't want to move but if she does, she goes in circles // ","Neurological disease, blind",
